text;scheme_gold
we invaded Afghanistan in 2001, the 7/7 bombings happened in 2005, four years after our invasion. we are less safe is because of the failed war itself - 20 years of failures.;Best Explanation
terrorist groups have havens across the world, Yemen, Libya, Iraq, all countries we were militarily involved in some shape or form. we are less safe is because of the failed war itself - 20 years of failures.;Best Explanation
in the first year of 2019, first six months, the US allies killed more people than the Taliban. in the first six months of 2019, the US allies killed more people than the Taliban is a shocking statistic. 2009 was a horrific year for Afghan civilians.;Best Explanation
AudienceMember 20210902QT25 saw some numbers earlier today been that's one in every four villages. the idea that 5,000 a year, even if you take all of them, and they come tomorrow, 20,000 turned up tomorrow is a joke.;Default Inference
one person in every four villages and towns in the UK. clearly, we can take more refugees. ;Best Explanation
at the most simple analysis of the situation, we are a major player in the last 20 years of this situation. the numbers of refugees are a joke.;Best Explanation
we should look at percentages of anyone that needs the help. we should not be looking at numbers. ;Default Inference
at the most simple analysis of the situation, we are a major player in the last 20 years of this situation. we should not be looking at numbers.;Best Explanation
take into consideration the numbers issued by the government today what it is going to cost for those 20,000, which was less than £1 billion. take into perspective in the last 18 months, we can find £1 billion.;Default Inference
take into perspective in the last 18 months, we can find £1 billion. we can find £10 billion.;Default Inference
we can find £10 billion. considering our mess in the last 20 years.;Default Inference
we should take a major stance in the recovery. we should take a major stance in the clean-up. at the most simple analysis of the situation, we are a major player in the last 20 years of this situation.;Default Inference
we need to implement democracy.. the reason of why have we failed on the exit strategy is to implement democracy, and that has proven to be a much harder proposition. ;Default Inference
we have seen the demand for the democracy from a quarter of the members of the jirga, the Afghan parliament, women. we then chose collectively also to seek to bring about a positive change in Afghanistan, support women's emancipation, education. ;Consequences
there was no exit strategy that had any mindful bearing on what the Afghan people actually wanted or needed. the problem is, when we talk about Afghanistan, to Afghans, we talk at Afghans. ;Default Inference
it was a consequence by a decision of the United States to withdraw. the exit from Afghanistan was an American unilateral decision. ;Default Inference
there was an agreement that the US would be leaving and Joe Biden has always made clear that he would respect that agreement. the American administration obviously felt they wanted to leave within a particular time frame. ;Default Inference
the government appears to have been relying on intelligence up to now that said that the Taliban were unlikely to advance. can't we all just agree that we totally did or did not underestimate the Taliban forces in the first place. ;Best Explanation
some of that 20,000 of the people from Afghanistan will be from the Taliban. the idea that 5,000 a year, even if you take all of them, and they come tomorrow, 20,000 turned up tomorrow is a joke.;Default Inference
terrorism is a home-grown problem. terrorists are in this country right now. ;Sign
this foolhardy attempt at withdrawing a troop is an offensive that could have been stopped by the Taliban. this foolhardy attempt at withdrawing a troop does not need more troops on the ground. ;Default Inference
a commitment from the Western forces is what we've been lacking. it needs a commitment from the Western forces. ;Default Inference
Nelufar Hedayat has family in Afghanistan. xxx is what Nelufar Hedayat is hearing from family and friends. ;Default Inference (QA)
these are Nelufar Hedayat's family and friends. hearing from family and friends aren't just spaces we see on TV when we're watching the News at 10.;Default Inference
Nelufar Hedayat made a documentary on the BBC ten years ago with her family who talked in really negative terms about what the Taliban were. Nelufar Hedayat's uncle is in Afghanistan staying put told not to move for fear of being caught by the Taliban. ;Best Explanation
the rest of the world is watching the situation in Afghanistan unfold while the Afghan people are yet again left. we've left Nelufar Hedayat's family to deal with the Taliban with a group that, over the last 20 years, have become calculating, have become smart.;Default Inference
it is in the government's gift how they control what questions are granted. questions the Foreign Secretary was dragged to the House of Commons to answer have never been granted. ;Default Inference
you might not agree with what Rory Stewart says. troops should stay. ;Default Inference
the government appears to have been relying on intelligence up to now that said that the Taliban were unlikely to advance. the first is about intelligence. ;Default Inference
the intelligence we had about the capabilities of both the government and the taliban clearly was completely and utterly wrong. the first is about intelligence. ;Default Inference
we don't have any understanding as far as Lisa Nandy can work out about what is happening on the ground. we need to get a line of sight on what is happening beyond Kabul. ;Expert Opinion
we should be freezing the assets. the Taliban have taken over the Afghan government's assets, some of those may be in UK banks. ;Threat
unless we start putting leverage on the Taliban in order to put pressure on them not to allow Afghanistan to descend into a haven for terrorists. unless we start going after the financial assets of the Taliban. ;Default Inference
unless we start putting leverage on the Taliban in order to put pressure on them not to allow Afghanistan to descend into a haven for terrorists. we will reap the benefits. ;Consequences
there is a Covid pandemic. xxx is how else will you help them. ;Default Inference
the person who blew himself up in Manchester was from London. the reality is as much as there may be terrorists out there, actually, the people who blew up the tube in 7/7 in 2005, they were from Leeds where AudienceMember 20210902QT37 lives.;Default Inference
the reality is as much as there may be terrorists out there, actually, the people who blew up the tube in 7/7 in 2005, they were from Leeds where AudienceMember 20210902QT37 lives. terrorists are in this country right now.;Best Explanation
terrorism goes on all around the world. you cannot defeat an ideology from dropping bombs from 30,000 feet.;Default Inference
Mehdi Hasan definitely hasn't been in favour of the war over the last 20 years. Mehdi Hasan is probably the wrong person to ask what the war was for.;Best Explanation
we thought it would be a Vietnam-style quagmire, tens of thousands of civilian casualties. some of us were opposed to the war from the very beginning. ;Threat
we thought the terror threat would go up and not down. some of us were opposed to the war from the very beginning. ;Threat
it turned out that Dominic Raab was on holiday as the Taliban advanced. we've found out why Dominic Raab didn't even bother to reply to Lisa Nandy's email about the urgent meeting regarding Afghanistan. ;Best Explanation
it turned out that Dominic Raab was on holiday as the Taliban advanced. don't make the mistake of thinking just because some of us recognise this is a complex and difficult situation that all of us need to own up to some level of responsibility. ;Default Inference
one of the reasons why we have put Foreign Office, Home Office, and Ministry of Defence staff forward into Kabul is to make sure that people who would wish to do us harm are not using the current circumstance to insert themselves into the UK. James Cleverly doesn't know the circumstances around the reasons why some Afghan might have been refused asylum to the UK. ;Default Inference
withdrawing the forces from the Afghanistan is an immense victory for Jihadists, coming before the anniversary of 9/11. we're less secure.;Best Explanation
security ought to be a priority. Lisa Nandy was surprised today in the House of Commons, when the Prime Minister made quite a lengthy statement to the House about our strategy, that this only warranted two sentences in his reply. ;Default Inference
politicians were discussing it amongst themselves that this Afghan army is not up to it, that there is corruption in the government, no-strike is not working, and they're not winning. politicians knew. ;Best Explanation
20 years. the Afghanistan war is on the same level of a failure as the Iraq war.;Best Explanation
thousands of lives lost. the Afghanistan war is on the same level of a failure as the Iraq war. ;Best Explanation
the Afghanistan war is on the same level of a failure as the Iraq war. what we've done in Afghanistan seriously deserves a huge accounting. ;Analogy
"politicians knew. that is the worst part about it, to see politicians this week saying, ""I'm shocked at this collapse, shocked it didn't work out the way ... "". ";Inconsistent Commitment
the Afghanistan war is a massive, massive monumental failure. the Afghanistan war is on the same level of a failure as the Iraq war. ;Analogy
those decisions were flawed in that there was no real understanding of the complexity of what then had to come next. the current situation has long and deep roots. ;Sign
there have been a series of political and strategic failures over a very long period of time that led to here. the current situation has long and deep roots. ;Best Explanation
after the 9/11 attacks, for the UK to want to respect that Article 5 of the NATO Agreement had been invoked, that we have a duty to come to the mutual aid of NATO member states that British citizens have been some of the second biggest victims of the 9/11 attacks outside of the United States. first to acknowledge that the entry strategy was flawed as well.;Default Inference
there was a real need to degrade the capability of Al-Qaeda. first to acknowledge that the entry strategy was flawed as well. ;Default Inference
Pakistan and Iran have millions of refugees. the majority of refugees have always been - not in the West. ;Best Explanation
Mehdi Hasan finds the Home Office's official guidance saying Afghan asylum seekers could be returned to Kabul safely absurd. the Home Office guidance on asylum seekers needs to be changed. ;Position To Know
after 20 years, two trillion dollars and tens of thousands of people dead. things in Afghanistan clearly haven't improved enough.;Sign
Labour party is unable to put a stance on what it will do to protect communities here from the terrorists. Labour party haven't changed from sitting on the fence like Jeremy Corbyn. ;Best Explanation
Lisa Nandy is a Greater Manchester MP, we are going through hell in Manchester with the inquiry into the Manchester bombings. please don't tell Lisa Nandy we don't take people's security and safety here in the UK seriously. ;Expert Opinion
terrorism is a home-grown problem. we need to work together to deal with terrorism. ;Threat
the UK Foreign Secretary and the Prime Minister felt it was okay to go on holiday during the US withdrawal from Afghanistan. the UK Foreign Secretary and the Prime Minister were not prepared for the US withdrawal from Afghanistan. ;Best Explanation
the UK Foreign Secretary and the Prime Minister were not prepared for the US withdrawal from Afghanistan. the UK Foreign Secretary and the Prime Minister should hang their heads in shame. ;Default Inference
the United Kingdom played a massive part in getting itself involved in Afghanistan. for us to be talking about allowing only 5,000 people from Afghanistan a year is quite frankly disgusting. we should say our arms are open to whoever from Afghanistan wants to come.;Sunk Costs
the people from Afghanistan want a safe return. the people from Afghanistan can have a safe return and support in doing so. ;Default Inference
it was a consequence by a decision of the United States to withdraw. what we've seen unfold in the last few months was not inevitable. ;Best Explanation
it was a consequence by a decision of the United States to withdraw. the US withdrawing left the UK in a difficult position. ;Default Inference
Lisa Nandy acknowledges and respects that the decision by Joe Biden to put a firm end date of the withdrawal obviously to motivate the Taliban. Joe Biden's firm date of the withdrawal give the Taliban a signal they could advance across the country. ;Default Inference
withdrawing the US army undermined the efforts that had been made to try to strengthen the Afghan forces's resilience.. Joe Biden withdrawing the US army had a huge impact on the morale of the Afghan forces as well. ;Cause To Effect
because of our failure to plan people will die. this is unacceptable. ;Threat
because of our failure to plan people will die. it is an unparalleled moment of shame for this government. ;Threat
those green shoots are now stone dead. we could all hold our heads up high and say that we were seeing green shoots emerging. ;Default Inference
the Afghans that AudienceMember 20210902QT28 supported have been executed in cold blood. the people that AudienceMember 20210902QT28 served with and who served on previous tours, who have lost friends, brothers, sons, sisters, are now seriously questioning what it was all for.;Waste
those green shoots are now stone dead. the only way that AudienceMember 20210902QT28 can feel like they cannot be utterly embarrassed and humiliated about their service is if we as a democratic nation hold those responsible to this for account.;Sunk Costs
the political enquiry holds to account both some of the political decisions, but also those in the military hierarchy who were responsible for strategic and operational decisions that have led to failure. Boris Johnson is trying to weasel out of having a full parliamentary inquiry. ;Best Explanation
we were always told that Afghanistan was the good war. we were lied to from the very beginning. ;Default Inference
we were always told that Afghanistan was the good war. Iraq was the bad war. ;Default Inference
Afghanistan had its own share of lies as we were told there was no alternative to going to war, even though it was reported at the time that the Taliban were willing to hand over Bin Laden to a third country if Bush offered proof. Afghanistan was not the good war as it had its own share of lies. ;Inconsistent Commitment
Bush said no. Afghanistan had its own share of lies as we were told there was no alternative to going to war, even though it was reported at the time that the Taliban were willing to hand over Bin Laden to a third country if Bush offered proof. ;Direct Ad Hominem
the Taliban in 2001 offered to surrender as long as their leaders were kept safe in Kandahar, Donald Rumsfeld no, unconditional surrender. Afghanistan had its own share of lies as we were told there was no alternative to going to war, even though it was reported at the time that the Taliban were willing to hand over Bin Laden to a third country if Bush offered proof.;Inconsistent Commitment
doing the same thing over and over again, and expecting different results. we have to end this, but it has to end. ;Consequences
we take money out of the aid budget that we're now trying to put back into Afghanistan, having taken it out in the last few years. we are pitting people who can get out of Afghanistan against people who want to stay and be supported in Afghanistan. ;Default Inference
we take that money out in order to support refugees here. we are pitting people who can get out of Afghanistan against people who want to stay and be supported in Afghanistan. ;Default Inference
after the long history of involvement that the UK has. the promises that we made to the Afghan people. we ought to be able to do both and fund Afghanistan refugees and Afghans in their home country. ;Sunk Costs
there are many, many other courageous Afghans, civil crypto currencies, people who have worked with our charities, journalist, human rights activists, teachers. second thing: too much of the debate here in Britain and the United States is focused on military interpreters. ;Default Inference
those young girls are now young women who have aspirations and hope. those young women will fight the rule of the Taliban. ;Sunk Costs
Nelufar Hedayat went to a place called Skater Stan, and she met young girls wearing their traditional Afghan clothes going up and down these huge skateparks that they had built because the war in Afghanistan gave a generation hope. the war in Afghanistan was fought to some degree for the children. ;Position To Know
you've completely upended somebody's country. after failing to transplant cultural values and then just walking away, how can you not expect there to be an enormous mess left behind. ;Best Explanation
"now we're just saying, ""Oh, well, anyway, it doesn't seem to be working, let's go."". at some point, people have to take responsibility for the complete failure in Afghanistan. ";Waste
we've gone in, we've made a mess of Afghanistan. AudienceMember 20210902QT16 doesn't care if it's Labour, Conservative, British, American, whomever it is who takes responsibility.;Sunk Costs
"this was the UK government prepared. xxx is what ""unprepared"" would have looked like. ";Default Inference (QA)
some of those countries are countries that we have a very difficult set of relationships with, including Iran, for example. none of those countries want to see Afghanistan turn into a terrorist breeding ground. it is going to be incredibly hard work. ;Best Explanation
it is going to be incredibly hard work. it will require a degree of focus and attention. ;Sign
we are absolutely committed to make sure that we put in that diplomatic work in Afghanistan. it will require a degree of focus and attention. ;Default Inference
we are deeply, deeply suspicious of the promises made by the Taliban, both in Doha and most recently. we will judge them on their actions rather than their words. ;Default Inference
we will judge them on their actions rather than their words. we will work with the countries in the region, both the immediate neighbours and those in the near vicinity, who also have a vested interest in Afghanistan not returning to terrorism. ;Default Inference
there is of course the risk of terrorism and extremist acts. terrorism is why the UK's position had always been that we withdrew when certain conditions had been met, rather than to a specific date or timeline. ;Popular Opinion
Nick Carter is someone who has been in the top of the military hierarchy for many years. Nick Carter bears responsibility for many of the military's failures. ;Best Explanation
we as a nation need to accept that we have been defeated, and the generals responsible for that need to be held to account. people like Nick Carter will not be allowed to retire and go and work off the board of a private military contractor and live very well-remunerated lives. ;Default Inference
people like Nick Carter will at least having a moment where they are held in very, very humble silence for the decisions that they've made is the only way as a veteran that AudienceMember20210902QT30 and their fellow veterans will feel at the very least we've learned something. in 20 years' time, the next generation should not in some other country be undergoing the same process as now in Afghanistan. people like Nick Carter will at least have a moment where they are held in very, very humble silence for the decisions that they've made.;Threat
James Cleverly has been in the military for a long while. James Cleverly knows lots of people that have served in Afghanistan. ;Sign
James Cleverly knows lots of people that have served in Afghanistan. James Cleverly knows people who have had life-changing injuries. ;Sign
it is absolutely understandable that this particular time, when we are seeing the images coming out of Afghanistan, veterans in particular will find it incredibly difficult. James Cleverly would put a strong plug to make sure that anyone that is feeling the pressure because of the operation in Afghanistan reaches out. ;Consequences
the American forces left overnight. essentially the entire Afghan air force was destroyed as we left. the reason why the exit strategy from Afghanistan failed is that it was reckless and shameful. ;Best Explanation
in South Korea the United States has been there for 70 years. the big question is why were we pushing for the exit at all.;Analogy
if the United States had left after to help the years, they would have left at a time when South Korea had a GDP per capita lower than the Congo in a military dictatorship. the United States has got 25,000 troops in South Korea.;Default Inference
we had a Lightfoot print of 2,000 British and American soldiers that could have remained in Afghanistan with very few casualties at low cost. the exit from Afghanistan was an unnecessary reckless defeat.;Best Explanation
we're having this conversation about Afghanistan today. the exit strategy wasn't effective. ;Default Inference
the exit strategy wasn't effective. James Cleverly shouldn't dare suggest that the exit strategy was effective. ;Default Inference
people are genuinely terrified. Rory Stewart is sure his phone and everyone else's phone here is teeming with literally thousands of people coming through different methods trying to get out. ;Default Inference
at the moment you cannot get to the airport. there are Taliban checkpoints all the way to the airport. the military won't let you in. people are genuinely terrified. ;Best Explanation
the conditions set by the US and the UK are very narrow. above all, the answer to this million international -- what the UK should be doing is working with other partners to share the burden. ;Best Explanation
more than 40 countries were involved in the Afghan war. If we share the burden, we can help the people in need from the Afghan war.;Default Inference
countries coming together to share the burden was done for the South Vietnamese boat people. countries coming together to share the burden can be done for Afghanistan. ;Analogy
countries coming together to share the burden can be done for Afghanistan. helping Afghanistan cannot be done by individual countries offering 5,000 a year.;Default Inference
we think nation building is like a Lego system that we can pick up from Britain and implement in Afghanistan. nation-building by Afghans for Afghans is what all of you should be thinking about. ;Default Inference
combat operations in Afghanistan finished in 2014. Mehdi Hasan is living in the past. Mehdi Hasan is massively misrepresenting the Afghanistan situation.;Direct Ad Hominem
there was no significant pressure against our forces on the ground. our forces on Afghanistan ground were never tested. ;Best Explanation
Mehdi Hasan has not been in Kabul lately. When Rory Stewart was in Kabul in November he can assure that people that he has been working with for 20 years are in a much better situation than they were before. Mehdi Hasan is much too pessimistic about what has been happening in Kabul.;Position To Know
