text;scheme_gold
giving the money and taking it away creates a bad feeling, not even those who have it taken away, but people who like me, who don't need it, but didn't get it. the money is going to be taken away. ;Default Inference
the way we increased the seasonal workers was pragmatic. you have got to be pragmatic about the working situation. ;Default Inference
we want to transition the economy to a high wage, high skill economy as Wheelmore are doing. you've got to calibrate which is your point of focus. ;Practical Reasoning
one of the big distribution centres in Manchester is going from a warehouse with no automation to a warehouse with automation. they will have higher skills and higher wages. ;Cause to Effect
they're going to work with robots. they will have higher skills and higher wages. ;Cause to Effect
the people deserve higher skills and higher wages. an economy with higher wages is the one we want to see. ;Default Inference
we have a Skills Bill and it is about upskilling and reskilling. Nadhim Zahawi focus in his department is that by the end of this Parliament, they have a skills agenda that does deliver. ;Default Inference
more of you voted for Brexit than against Brexit. maybe you're having buyer remorse. ;Inconsistent Commitment
there is a big vegetarian impact that's grown so much. it is a lot of people now don't want to cut up meat. ;Sign
it takes two years to train a butcher. training a butcher can't happen overnight, that's the point. ;Default Inference
they didn't want foreign workers coming over here and taking our jobs. a lot of people voted for Brexit. ;Practical Reasoning
we've got a lack of foreign workers. we've got these shortages. ;Cause to Effect
now foreign workers not coming over here and taking our jobs is exactly the situation that we've got. Fiona Bruce is assuming AudienceMember 20211014QT27 didn't vote for Brexit.;Default Inference
there is labour shortages. wage increases means nothing. ;Default Inference
the cost of living will continue to increase. the majority of people who will get a wage increase won't feel it. ;Best Explanation
maybe it is the conditions. it is about people not wanting to do the jobs on offer in abattoirs. ;Best Explanation
a lot of people voted for Brexit. now foreign workers not coming over here and taking our jobs is exactly the situation that we've got. there is an irony when we're discussing Brexit. ;Default Inference
children in schools who need teachers the most have talent, they don't have opportunity. the UK Government announced £3,000 in bonuses for teachers in maths, physics and chemistry to those schools who need them most.;Default Inference
Lisa Nandy is excited. after Nottingham Question Time will be in Glasgow where they will be joined by the actor and the star of the HBO television drama, Succession, Brian Cox. ;Default Inference
Nick Ferrari should admit that the Government have done something about it for the most needy. Nick Ferrari is going to criticise the UK Government on something. ;Default Inference
the Tories got rid of gas storage. we slashed solar tariffs. the Tories blocked onshore winds. over the years, we've been running down under the Tories our renewable capacity. ;Default Inference
the Tories got rid of gas storage. we are left reliant on the markets. ;Cause to Effect
Nadhim Zahawi could not be worse than his predecessor. Lisa Nandy was extremely pleased to see Nadhim Zahawi in the post of Education Secretary. ;Default Inference
at the moment given everything that's happened over the last few months and especially what we've learnt about the killing of Sarah Everard in the last few weeks. rape conviction is at their lowest level ever in this country. women in this country want to know that nobody is beyond the law. ;Default Inference
rape conviction is at their lowest level ever in this country. it is a question of supporting women who are obviously coming forward with accusations that need to be followed through. ;Default Inference
there have been 81 women murdered by a man since Sarah Everard died on 3rd March. it is a question of supporting women who are obviously coming forward with accusations that need to be followed through.;Random Sample to Population
a lot of women who don't see justice done. rape conviction is at their lowest level ever in this country. ;Cause to Effect
Prince Andrew's sexual assault claims tarnishes the respectability of the monarchy in the UK. Prince Andrew denies the sexual assault claims and he has not been charged with anything. ;Default Inference
Prince Andrew's sexual assault claims tarnishes the respectability of the monarchy in the UK. the UK monarchy is going downhill. ;Cause to Effect
women's safety is in peril. AudienceMember 20211014QT45 no longer feels safe as a woman.;Cause to Effect
one police officer killing a woman was an incredible misuse of the power which must never be allowed to happen again. Nick Ferrari would argue that police misuing their power is what we need to look for. ;Consequences
the culture of misogyny of men treating women very badly indeed has gone on for far too long. Prince Andrew should go to the States and he should be held accountable. ;Default Inference
a lot of these cuts in Universal Credit and other financial cuts are going to affect women most. what is most concerning is that AudienceMember 20211014QT46 believes there are a lot of cuts to women's services.;Default Inference
the inquiry that's been set up by Priti Patel has to have statutory powers. the Government achieves something after the death of Sarah Everard. ;Default Inference
evidence cannot be brought forward and witnesses can't be compelled. witnesses can't be compelled to give evidence. ;Default Inference
the judge involved in the Daniel Morgan review talked about the difficulty of getting papers because it was not statutory. the inquiry that has been set up by Priti Patel has to be able to compel people to give evidence, otherwise it will get nowhere. ;Default Inference
the judge involved in the Daniel Morgan review talked about the difficulty of getting papers because it was not statutory. the Daniel Morgan review found institutional corruption in his murder. evidence cannot be brought forward and witnesses can't be compelled. statutory powers is what has to happen if we are going to get something. ;Consequences
we're going to make this a watershed moment for what happened and what it achieved and Stephen Lawrence, this is the opportunity. statutory powers is what has to happen if we are going to get something. ;Practical Reasoning
people have had benefits cut and can't get back to work. a personal friend of AudienceMember 20211014QT15 will face double fuel bills this winter and his benefits have been reduced. we need to focus on people that can't get back to work.;Position to Know
we saw empty shelves. they couldn't buy what they wanted when they wanted. ;Default Inference
when the truckers crisis blew up, we can't get truckers in, but ballet dancers allowed into this country. Nick Ferrari relies more on a trucker and pig farmer than a ballet dancer. ;Default Inference
Nick Ferrari relies more on a trucker and pig farmer than a ballet dancer. get the right people in and then train up. ;Practical Reasoning
Boris doesn't want to see uncontrolled immigration put pressure on wages here in the UK. ;Default Inference
optimism could heat our homes. we'd all be in a great place from yesterday. ;Default Inference
covid deployment for the vaccine. we've put £407 billion in to support the economy. at one stage we were paying furlough to 11.6 million people. the Universal Credit uplift. Nadhim Zahawi knows as the Covid minister what we had to do.;Default Inference
adhering to the highest possible standard  means making every effort to support the effort to have a fair hearing and a fair trial. Prince Andrew should or should not go to the States and see his accuser in court. ;Default Inference
Lisa Nandy agrees with Nick Ferrari and thinks it is time some action was taken. Nick Ferrari urges Prince Andrew to do whatever it takes to go to New York or Washington and for the Queen to continue doing her job. ;Default Inference
every bit of the system is stacked against those young women, and sometimes young men, who come forward to allege abuse. it takes incredible bravery to allege abuse. ;Cause to Effect
people who allege abuse don't have access to people in power. all of that makes it far, far more important that people who are in positions of power adhere to the highest possible standards in these cases. ;Default Inference
people who allege abuse are not believed and so many times there is pressure put on them and their families to just shut up and go away instead of rocking the boat. all of that makes it far, far more important that people who are in positions of power adhere to the highest possible standards in these cases. ;Default Inference
we got a government where Dominic Raab doesn't know who -- is. Rosie Jones is a woman, but also a disabled woman. Rosie Jones doesn't feel safe at night. ;Default Inference
the fuel crisis. food inflation set to rise. gas and electricity bills soaring. a national insurance hike. teamed with a Universal Credit. the Conservative Party have not done enough to show that they are the party of ordinary people. ;Best Explanation
the tide is turning. this is just showing that there was no economic basis in leaving the EU. ;Default Inference
the Brexit movement was driven on an agenda driven by lies. nobody wants to admit to it in the Government. ;Direct ad Hominem
there was no plan for Brexit. Boris Johnson lied in his speech about the things that the Government are proposing to do. ;Default Inference
the plan was to get out the foreigners. there was no plan for Brexit. ;Default Inference
the plan was for David Cameron to win back his backbenchers. there was no plan for Brexit. ;Default Inference
we're trying to employ people to come from abroad. restricting seasonal workers to 2 months is hypocritical and lunacy.;Consequences
it does not help when the Prime Minister says that the police force should be investigating serious crimes. currently, in 2021, just over half the police forces in the country have had domestic abuse training.;Default Inference
Prince Andrew is a man who has been accused of a serious sexual crime. Rosie Jones doesn't care who Prince Andrew is. ;Default Inference
it is important to remember that Virginia Giuffre was caused great pain by Epstein. Lisa Nandy is right. ;Popular Opinion
Prince Andrew is a man who has been accused of a serious sexual crime. of course Prince Andrew needs to face that allegation. ;Default Inference
we've got a shortage of butchers. we have got to have a dial down so we can sort this crisis and make sure that we have high quality British food on the shelves. ;Practical Reasoning
It feels like farmers don't matter and we don't want to see British food produced in this country and that has to change. we have got to have a dial down so we can sort this crisis and make sure that we have high quality British food on the shelves. ;Consequences
people are watching their livelihoods go up in smoke. what we need is the Prime Minister to get a grip on the shortage of workers. ;Witness Testimony
Lisa Nandy's cousin is a farmer. Lisa Nandy knows how tough it is to have to work in that industry all year round with all of the pressures that are on people. ;Position to Know
to have to slaughter perfectly well animals in the middle of a pandemic when we have seen food shortages. having to slaughter perfectly well animals in the middle of a pandemic is really is quite an unbelievable place to have got to. ;Default Inference
your staff nurse is on £13 an hour. butchers are on £15. the more we talk about low skilled, low paid, that's not the case.;Default Inference
to have to slaughter perfectly well animals in the middle of a pandemic when we have seen food shortages. Lisa Nandy knows how tough it is to have to work in that industry all year round with all of the pressures that are on people. ;Default Inference
the abattoirs have had the China market close to them. the Chinese market closing also impacted the industry here in the UK. ;Default Inference
to make sure that we have the need for those abattoirs to process as fast as possible. we are doing everything we can to make sure that we get things like the English language requirement resolved. ;Practical Reasoning
the global economy has rebounded rapidly post-pandemic. you're seeing global shortages everywhere. ;Cause to Effect
we're doing everything we can, in my view, to work with the farming community. we are doing everything we can to make sure that we get things like the English language requirement resolved. ;Default Inference
butchers are on the visa list to be able to come to this country and do that work. we have got to be pragmatic and do what we're doing as we're doing. ;Default Inference
the governments adversarial approach is exhausting and it is wearing. Minette Batters felt on behalf of business at the moment, it doesn't feel like government really wants to work with business and this adversarial approach cannot carry on. ;Default Inference
"Boris Johnsons' speech was all visions. right now; the country doesn't need visions. ";Default Inference
"right now; the country doesn't need visions. the country needs things putting in place and policies. ";Default Inference
Rosie Jones' found the speech quite scary. Rosie Jones found the speech scary as it felt quite like a Trump speech. ;Default Inference
we cannot take energy for granted. they have to have a long-term approach and long-term investment and a will from government to work with business. ;Consequences
we cannot take food supply for granted. they have to have a long-term approach and long-term investment and a will from government to work with business. ;Consequences
we've all got daughters, nieces, friends. when Minette Batters listened to Sarah Everard's mother give that statement, Minette Batters will remember that to her dying day. ;Default Inference
what that family must be feeling is from March 3rd. it took from March 3rd to October to call for the Sarah Everard inquiry because xxx.;Default Inference
Minette Batters would want to know why the call for the enquiry took so long if she was her mother. it took from March 3rd to October to call for the Sarah Everard inquiry because xxx.;Default Inference
Prince Andrew doesn't recall meeting Virginia Giuffre. Prince Andrew denies the accusation. ;Default Inference
Prince Andrew denies the accusation. Virginia Giuffre, an American woman, has accused Prince Andrew. there is a legal process going on here which we have to be aware of. ;Default Inference
AudienceMember 20211014QT33 was in Prince Andrew's position, telling the truth. AudienceMember 20211014QT33 would want to go and see what corroborative evidence there is for this accusation.;Default Inference
in AudienceMember 20211014QT33's line of work that he used to do, a criminal investigator, they would normally be looking for some corroborative evidence of an offence such as DNA or CCTV or independent witnesses. AudienceMember 20211014QT33 would want to go and see what corroborative evidence there is for this accusation.;Default Inference
Nick Ferrari doesn't fancy a night in the Tower. this is how Nick Ferrari is going to sum it up. ;Default Inference
the Queen lost her consort of goodness knows how many decades. the Queen has also got the issues of one of her grandsons living in California. the Queen has been through the most trying period of her life, I would imagine, not that long ago. ;Default Inference
the Queen has been through the most trying period of her life, I would imagine, not that long ago. it is as this the Queen continues to serve that she is blighted by problems such as this accusation of Prince Andrew. ;Default Inference
AudienceMember 20211014QT17 works in a local supermarket. AudienceMember 20211014QT17 has seen with their own eyes the fact that the shelves are emptying.;Witness Testimony
Unknown Speaker bought an item she buys regularly, gosh, it has gone up 10p, from 50p to 60p. at the moment the cost of living is rocketing.;Witness Testimony
employees of infants schools need help. people getting jokes instead of some substance at Prime Minister's speech is offensive. ;Default Inference
employees of infants schools want some action. employees of infants schools don't want to hear jokes. ;Default Inference
employees of infants schools don't want to hear jokes. people getting jokes instead of some substance at Prime Minister's speech is offensive. ;Default Inference
children at the infants school have been a complete privilege to work with throughout the Covid pandemic. children attending infants schools deserve better. ;Position to Know
that support, that 407 billion that we've put in, has meant that the economy has done better. it is important to remember that the National Living Wage is putting £4,000 a year more in people's pockets.;Default Inference
there are 2 million people fewer out of work today than was forecast when the pandemic hit. that support, that 407 billion that we've put in, has meant that the economy has done better.;Best Explanation
the early years teacher who was talking about the hard work has stayed open. thank you to the early years teacher who was talking about the hard work. ;Default Inference
because of the Sarah Everard case. one of the things we've done. ;Default Inference
this is really important. it starts at school. we're launching a 24/7 rape and sexual assault helpline.;Default Inference
right now there is a government inquiry and a Met inquiry. talking about women's safety in general. ;Default Inference
Rosie Jones is not happy with the Met and Government inquiries. xxx is what would make Rosie Jones feel that the inquiries did care about safety. ;Default Inference
;
;
;
;
;
;
because of the need for additional support for food. as Hassan and Nadhim Zahawi headed up to Manchester, they are an extra half a billion for those families and individuals who will find it hard this winter. ;Default Inference
because of the individuals utility bills. as Hassan and Nadhim Zahawi headed up to Manchester, they are an extra half a billion for those families and individuals who will find it hard this winter. ;Default Inference
local councils who know the families are probably best placed to help them. the support for food will go through the families Local Government. ;Best Explanation
the kick-start is another £2 billion in the scheme to get people back to work. the restart is £2.9 billion. we've got kick-start. a lot of money is going into getting people who aren't in the workplace, into the workplace.;Default Inference
a lot of money is going into getting people who aren't in the workplace, into the workplace. we are doing the right thing as we transition out of Covid. ;Consequences
a lot of money is going into getting people who aren't in the workplace, into the workplace. the economy is in a good place to deliver. ;Default Inference
allowing the mass slaughter of pigs that won't go into the food chain. xxx is happening with our food production. ;Default Inference
the Government doesn't control the condition in our abattoirs and demand be a butcher. It is actually not the fault of government that more young people seem to be attracted to vegetarianism and don't want to handle meat. ;Default Inference
what you can control, Nadhim Zahawi, is how people can get into this country. the Government doesn't control the condition in our abattoirs and demand be a butcher. ;Default Inference
the whole idea of immigration was that we were going to have workers here. the government promising workers will come from other countries needs to be addressed. ;Inconsistent Commitment
the situation with the truck drivers became very difficult. we find ourselves in a situation, almost a mirror of what we saw with the truck drivers. ;Default Inference
the situation with the truck drivers became very difficult. we still have the situation with the truck drivers affecting us and the drivers of the petrol tankers. ;Default Inference
the whole idea of Brexit was that we could control who we want to come in. Nick Ferrari would urge Nadhim Zahawi to go from here to talk to his colleagues in the employment department, whatever else it might be. ;Default Inference
don't let's have the situation we had the hauliers. Nick Ferrari would urge Nadhim Zahawi to go from here to talk to his colleagues in the employment department, whatever else it might be. ;Default Inference
violence against property is of the highest priority for police forces. the Government has a serious violence strategy. ;Cause to Effect
domestic abuse and sexual violence is not of the highest priority for police forces. police forces need flexibility in order to decide whether domestic abuse and sexual violence is a priority. ;Default Inference
the Domestic Abuse Bill widened the ability to prosecute men who commit domestic abuse. it cannot be right to say that domestic abuse and sexual violence is not of the highest priority and that police forces need flexibility in order to decide whether it is a priory. Nadhim Zahawi hopes Lisa Nandy voted for the Domestic Abuse Bill. ;Default Inference
you cannot imagine any minister saying that it is not of the highest priority and that police forces need flexibility in order to decide whether it is a priory about terrorism. it cannot be right to say that domestic abuse and sexual violence is not of the highest priority and that police forces need flexibility in order to decide whether it is a priority. ;Ignorance
we talk about her because it was a police officer who committed the crime. what about - AudienceMember 20211014QT47 can't think of her name off the top of his head.;Default Inference
