text;scheme_gold
the report from SAGE does not give definitive notification on where, when and how transmission considered. what SAGE are saying is the system is not detailed enough for them to be able to say with any high degree of certainty exactly where people are contracting COVID. ;Expert Opinion
what SAGE are saying is the system is not detailed enough for them to be able to say with any high degree of certainty exactly where people are contracting COVID. SAGE's system not being able to be certain about where people contract COVID goes for hospitality as well as anywhere else. ;Default Inference
when people's livelihoods are put at risk you have to expect them to make a bit of a stand. Hugh Osmond does respect the British fighting for fishing and the French fighting for their rights. ;Best Explanation
looking at it in human terms rather than government statistical terms, the hospitality sector has 3 million people working in it. the proposition that John Bercow puts to Robert Jenrick is while he sits in ministerial offices and reflects and commentates on what the future might hold, businesses are going to the wall.;Default Inference
it is too early in the day to say what is going to happen. Thangam Debbonaire founds it extraordinary that anybody looking down on John Lewis curtains. ;Default Inference
they are sending the gun ships out for the fishing century. it is a failure of diplomacy on both sides. ;Best Explanation
there's higher priorities for the Royal Navy than floating around in Jersey. it should have been dealt with a long time before it got to the situation of sending out gun boats. ;Consequences
eat out to help out was earlier. we weren't eating out to help out at Christmas. ;Default Inference
the Government had been driven by data throughout the COVID-19 pandemic. the Government might have heeded their own commissioned report warning what might happen in the winter without certain measures taking place.;Cause To Effect
it is better if we had been driven by data. being driven by data would have helped the hospitality industry. ;Default Inference
we want to choreograph decent, constructive, convivial relations with the European Union for the future. we don't make process by picking juvenile fights not just with one country but with the entirety of the European Union. let's start as we mean to go on, other than adopting gunboat diplomacy then getting some dovish spokesman to appear saying we know we deployed the boats but we mean well after all. ;Threat
we've already had to bring the dogs out to face each other off. we do need to learn to talk. ;Waste
we've already had to bring the dogs out to face each other off. it is a terrible tragedy that we're not getting on well at all with our next door neighbours. ;Default Inference
we clash with our neighbours too much. we've got to learn to start talking to our neighbours again. ;Default Inference
there's too much money in football. fan power is never going to happen. ;Best Explanation
too much money. as it stands now, there is not a chance of fan power. ;Best Explanation
Hugh Osmond would like to see somebody stand up for younger people who have been hammered by COVID and the recession. Hugh Osmond would like to see the opposition who have stood up for younger people trying to make their way in life who have been hammered by COVID and the recession. ;Default Inference
Hugh Osmond would like to see somebody stand up for younger people who have been hammered by COVID and the recession. Hugh Osmond would like to see the government stand up up for younger people trying to make their way in life who have been hammered by COVID and the recession. ;Default Inference
Hugh Osmond would like to see the opposition who have stood up for younger people trying to make their way in life who have been hammered by COVID and the recession. Labour failed to stand up for younger people who have been hammered by COVID and the recession. ;Default Inference
If you tell John Bercow the despatch of the Royal Navy ships to a minor fishing dispute and the fact of election day today are unrelated. John Bercow can only say that you will believe anything. ;Default Inference
Britain can do better than that. the problem isn't going to be addressed by a kind of Palmerstonian popularism. ;Default Inference
people in Hartlepool are looking to people like Ben Houchen, thinking they were doing a good job, there's investment, a free port, good jobs coming in, taking advantage of clean energy, the investment in town and high streets that we're doing in that part of the world. people in Hartlepool did look to people like Ben Houchen, the Conservative mayor. ;Best Explanation
people in Hartlepool are looking to people like Ben Houchen, thinking they were doing a good job, there's investment, a free port, good jobs coming in, taking advantage of clean energy, the investment in town and high streets that we're doing in that part of the world. the people of Hartlepool saw a positive change coming. ;Best Explanation
Keir Starmer has to be bolder. Keir Starmer certainly didn't come out with guns blazing about the policing bill. ;Default Inference
we were seeking a judicial review of the decision to delay opening of hospitality. we have been fighting very hard to try to achieve this. ;Waste
the hospitality industry is literally on its knees. the Hugh Osmond's employees need to get back to work. ;Threat
the UK Government are doing everything they can to support high street and town centre businesses through a very challenging period. if you think through what we've done, we have the business rates holiday that's continuing, we have grants up to £18,000.;Best Explanation
we have done the furlough scheme. if you think through what we've done, we have the business rates holiday that's continuing, we have grants up to £18,000.;Default Inference
Keir Starmer has to reach out to and connect with and cut through to the country as a whole. Keir Starmer has to be bolder. ;Practical Reasoning
in December 2019 people said they wanted to get Brexit done. and the government has delivered on the first phase of Brexit.;Default Inference
in a sense it would be counterintuitive if voters said we know we wanted that in significant numbers. but actually we're going to punish the government that delivered what we said we wanted them to deliver. ;Inconsistent Commitment
everyone may not be familiar with the court case Hugh Osmond was involved in. Hugh Osmond should remind everybody what it is you were trying to do in the court case. ;Practical Reasoning
we employ 3 million people. those employed are mainly under 25. the Hugh Osmond's employees need to get back to work.;Threat
the way to work it through the disagreement between France and Jersey is diplomacy. the French foreign minister was in Jersey yesterday. Robert Jenrick should have had a conversation with the French foreign minister. ;Practical Reasoning
the government is focused on the vaccine programme, recovery post-pandemic, sustaining people's jobs. let's hold an inquiry once we are through this pandemic. ;Consequences
what else could we ask for if we went to this government and said: We're not having it. the European super league died a death as far as Deborah Frances-White can make out on Twitter because the people didn't want it. ;Default Inference
Ian Wright, Gary Neville and the rest led, the fans have put a terrific protest and this time this protest must persist until it prevails. John Bercow hugely admires Ian Wright, Gary Neville and the rest. ;Default Inference
the government can pass laws. the government can regulate the game more. there's a lot of things the government can do. ;Sign
Robert Jenrick hopes we can use this as an opportunity to make the game more dynamic, more democratic and more in the interests of the fan. Robert Jenrick is pleased that we killed that proposal. ;Consequences
ultimately, the fans are what the game is all about. Robert Jenrick hopes we can use this as an opportunity to make the game more dynamic, more democratic and more in the interests of the fan. ;Practical Reasoning
we have been calling for many a long year for fans to be in charge of what happens in their clubs. Thangam Debbonaire is glad that the government has heeded the call of her colleague, the Shadow Minister of Sport. ;Default Inference
we want to build a better country to grow old and grow up in. Thangam Debbonaire has ideas about how we can do that. ;Default Inference
Thangham Debbonaire knows we want to rebuild our economy. Thangam Debbonaire has ideas about how we can do that. ;Default Inference
none more so than the vaccine programme. you're going to see some of the benefits of Brexit. ;Consequences
that's the point that the minister, Chris Witty, our experts, review the data in the knowledge of all the facts, make a decision, then provide sufficient time for the sector to provide for whatever the outcome is. it is better not to rush and make a decision before you're armed with all the information. ;Consequences
we're not children. the public of both countries would like both leaders to be grown up. ;Default Inference
then you have time to make the public and businesses like Hugh's. you ensure there is a five-week wait which gives enough time to have the information on which to make an informed decision. you gather the data. it is right to stick to what we created. ;Practical Reasoning
in about 10 days' time people will be able to go to indoor concerts, up to 100 people. maybe four adults cannot have a meal indoors and have a glass of wine with their meal. AudienceMember 20210819QT18 finds Scottish rules on serving food and booze is ridiculous.;Default Inference
the hospitality industry is literally on its knees. we have to get it moving as fast as we can. ;Threat
they are complaining they haven't got their licences. the fishermen from France are coming over. ;Default Inference
the French fishermen need to get their own act sorted. the French fishermen can't complain to anybody if they are late. ;Direct Ad Hominem
the hospitality sector is losing 200 million pounds not a week, not a month, not a year, it is losing 200 million pounds a day. the proposition that John Bercow puts to Robert Jenrick is while he sits in ministerial offices and reflects and commentates on what the future might hold, businesses are going to the wall.;Default Inference
the hospitality sector owes 2,000 million pounds in unpaid rent at the moment it can't pay. the proposition that John Bercow puts to Robert Jenrick is while he sits in ministerial offices and reflects and commentates on what the future might hold, businesses are going to the wall.;Default Inference
ensuring this is sorted out as quickly as possible is the right thing to do. we are going to ensure this is sorted out as quickly as possible. ;Practical Reasoning
people have been listening to the Labour Party, been willing to talk to them. Labour have incredible candidates. ;Default Inference
Deborah Frances-White is getting her information from this government and they are the absolute worse. Deborah Frances-White doesn't know if hospitality should open now. ;Direct Ad Hominem
the French were talking about cutting power to Jersey off. the French are not very proportionate either. ;Direct Ad Hominem
the French blockading a British port is a disgusting thing to have done. the French were not being diplomatic. ;Direct Ad Hominem
Labour have opposed the government on school exam results or free school meals in the holiday. Labour have stood up in support of people with low income, those in the private rented sector where Thangam Debbonaire has called for the eviction ban. Keir Starmer has opposed the government many, many times. ;Inconsistent Commitment
clearly the French behaved badly. the French were talking about cutting power to Jersey off. ;Direct Ad Hominem
no. Deborah Frances-White feels really disappointed that Keir Starmer's first response to the Policing Bill was to abstain. ;Default Inference
we have seen that schoolchildren, students, young people have been hammered by school closures, university closures and so forth. Labour Party certainly doesn't seem to stand for standing up for the young, hard-working people who have been most affected by lockdown and the underprivileged voter base. ;Inconsistent Commitment
the data and science have at no point supported the government on deciding not to allow the hospitality to reopen. not allowing the hospitality to reopen is a disgrace. ;Inconsistent Commitment
the people, both the players, the managers, the owners of these clubs, need to always remember that ultimately they are dependent on the fans. it is good that the issues around the European Super League have come to a head now. ;Default Inference
AudienceMember 20210819QT13 did not have clear policies. the vision is not there. AudienceMember 20210819QT13 did not know what they were voting for.;Best Explanation
AudienceMember 20210819QT13 did not know what they were voting for. in the most recent elections it was hard to go out to vote.;Best Explanation
Keir Starmer is Deborah Frances-White's MP. Deborah Frances-White really wants to like Keir Starmer. ;Cause To Effect
Keir Starmer certainly didn't come out with guns blazing about the policing bill. Keir Starmer's first response was that Labour was going to abstain. ;Default Inference
the problem with Stan Chronicy, is that he doesn't know one end of a football pitch from the other. John Bercow's particular bug bear is if you are going to have billionaires involved then it would be a good start if those people cared a flying flamingos goal about the sport of football. ;Direct Ad Hominem
Stan Chronicy is based in the United States and never comes to the UK. John Bercow's message to Stan Chronicy is the same as Ian Wright's, Stan Chronicy, get out of our club. ;Direct Ad Hominem
Stan Chronicy is based in the United States and never comes to the UK. the problem with Stan Chronicy, is that he doesn't know one end of a football pitch from the other. ;Direct Ad Hominem
the government has misled people. the government has broken its promises. Robert Jenrick, the reality of the matter is that the government have stopped and started. it has been a catalogue of ineptitude on an industrial scale. ;Direct Ad Hominem
it has been a catalogue of ineptitude on an industrial scale. therefore John Bercow, can well understand why Robert Jenrick is fighting shy of a full public inquiry. ;Default Inference
Sir Keir Starmer brushes his hair before he does speeches. Sir Keir Starmer seems like a grownup. ;Best Explanation
when Robert Jenrick says he's glad the dispute between the British and the French has been put to bed, fish exports from the UK being down 31% is hardly a result. Robert Jenrick can't be happy with UK fish export being down 31%.;Inconsistent Commitment
sometimes acting like children is the politician´s first response. sometimes acting like children as the politician´s first response is disappointing to the public. ;Default Inference
Boris Johnson trying to be Churchill is childish. Deborah Frances-White wishes Boris Johnson would stop getting up in the morning and saying: How can I be Churchill today. ;Direct Ad Hominem
they knew they had to get the licences in January. the French fishermen should have had their paperwork in in time. ;Inconsistent Commitment
if they are unhappy about anything they do a blockade for everything. it is just typical French. ;Direct Ad Hominem
the French ships have moved away. the Royal Navy is able to move away as well. ;Cause To Effect
the one thing for the French fishermen is people are at least now paying   attention to them. Scottish fishermen feel so betrayed by the Brexit deal. they might be wondering if they should be taking a leaf out of the French fisher folks' book. ;Cause To Effect
there is nothing that the UK Government can see that indicates that there is going to be a delay. it is literally a question now of 10 days until most of the aspects of the UK economy will be able to reopen. it would be doing the country a disservice at this stage to rush rather than waiting a little bit longer.;Waste
Brexit was put to bed. Brexit's got up again. ;Default Inference
it will probably be a while until we get details on sending Royal Navy ships to Jersey. we don't have many details on Royal Navy ships to Jersey. ;Best Explanation
fan power wants to happen. these big boys need to go out, play in their Super League in Europe, and teams need to be recreated where fans can have a relationship with the players who play for them. ;Default Inference
it has been clear over the last couple of years that the Labour Party has faced a battle for identity following Jeremy Corbyn's resignation, we have seen the Labour Party trying to reinvent themselves. Hugh Osmond doesn't know what Labour stands for at the moment. ;Best Explanation
we don't know what the outcome is going to be in Hartlepool. it's too much hypotheticals. ;Default Inference
a party with some proper ideas of how we're going to come out of the pandemic. Labour Party certainly doesn't seem to stand for standing up for the young, hard-working people who have been most affected by lockdown and the underprivileged voter base. ;Default Inference
the ships have left the vicinity of Jersey. Robert Jenrick is pleased the situation has eased. ;Best Explanation
it isn't a question of people not filling in forms that they knew they had to complete. there's an important point here. ;Default Inference
the French fishermen were completely wrong. the French fishermen were well out of order. the French fishermen need to get their own act sorted. ;Verbal Classification
the French fishermen need to get their own act sorted. the French fishermen need to do the paperwork. ;Cause To Effect
strong opposition is good for democracy. in a democracy every government needs a strong opposition. ;Default Inference
the French did not have the right to suddenly start blockading a British port. the only mistake the Royal Navy made was not sinking the ships in the first place. ;Precedent
sending the royal navy to a minor fishing dispute was an absurd act. no. ;Default Inference
the French fishermen in Jersey aren't new-comers. the French fishermen should have had their paperwork in in time. ;Precedent
Labour stood up for people on school meals. Labour stood up and got a reversal of a decision by the government. Labour stood up for people on the evictions ban. Labour stood up for people on cladding which is so important to so many people across the country. Labour have stood up for people. ;Analogy
in this case, as explained by Hugh Osmond, the reality is that we have been driven or at least the government has doggedly and dogmatically been driven by dates, irrespective of the emerging data. the adage we should be driven by data not dates has been turned on its head. ;Default Inference
the government were right. it is not a dip the French were in the country yesterday. ;Best Explanation
clearly the French behaved badly. whether our response was proportionate, it is difficult to say. who was to blame for sending ships where, it is very difficult to say. ;Ignorance
they have had 900 deaths in Australia. Australia has a population of 26 million. commensurately, we could have had, say, 3,000 deaths here. Maybe, okay, we are densely populated so maybe 6,000.;Default Inference
we can see that the effectiveness of preventing effectiveness in severe disease was better than assumed. the number of hospital admissions has fallen. we had enough data a month ago to see the assumptions behind the models were wrong from the start, from the outset were based on bad data. ;Best Explanation
football is part of our heritage, our culture, whether that's the biggest or smallest clubs. we need now a shift in the fundamental power dynamic in the game away from big billionaires back to the fans. ;Best Explanation
fan power in football is politics. Deborah Frances-White has loved seeing British people so politically engaged. ;Verbal Classification
fans got something shifted. there is a sense of power, power to the people. ;Best Explanation
the Scottish fisherman's federation says it is desperately poor. Scottish fishermen feel so betrayed by the Brexit deal. ;Best Explanation
it is a minor but significant scandal that the SAGE report was leaked out at the last minute after the conclusion of the case. on the very same day after the court made its decision and it came out afterwards, there was published quietly by the government a full report from SAGE based on UK information throughout the epidemic that said it found no evidence that pubs and restaurants or hospitality in general were prone to infection. ;Best Explanation
it is very different from 1979 or even 2010 when people wanted government out of the way. there is a market for a left-of-centre party that can show how it will tackle the levelling up agenda, how it will help the left-behind, the left-out, the left-to-rot.;Best Explanation
people want a protective state and a Labour Party. it is very different from 1979 or even 2010 when people wanted government out of the way.;Inconsistent Commitment
this means through COVID and through the pandemic and coming out of it it appears that the rich get richer and the poor get poorer, as a huge generalisation. we have seen that schoolchildren, students, young people have been hammered by school closures, university closures and so forth. ;Best Explanation
this means through COVID and through the pandemic and coming out of it it appears that the rich get richer and the poor get poorer, as a huge generalisation. the jobs that will be lost is almost exclusively in the younger part of the market, low-paid jobs. ;Best Explanation
the move away from what you take on the gate to all the media rights. that the anger has come to a head has been coming for some time. ;Default Inference
the distribution of the vaccine is overwhelmingly about the NHS. the devising of the vaccine is overwhelmingly about the quality of scientists. development and distribution of the vaccine has little to do with the government. ;Best Explanation
consistent with the fact of suspension of normal politics, there is a wave of relief in the country at the arrival and, yes, the effective distribution of the vaccine. there is a desire to reward the government. ;Best Explanation
nevertheless, the distribution has been a success. there is a desire to reward the government. ;Best Explanation
people voted for Brexit. in a sense it would be counterintuitive if voters said we know we wanted that in significant numbers. ;Default Inference
the court case wouldn't make a difference before 17 May. after an unexplained two-week delay from the court, the judgment was that the case was academic.;Best Explanation
media rights, sponsorship rights and other rights have become a much more important source of income for sports clubs than the fans themselves. something like the European Super League was always bound to happen. ;Best Explanation
in the most recent elections it was hard to go out to vote. AudienceMember 20210819QT13 feels quite apathetic.;Default Inference
the Conservatives gain seats in Hartlepool and, in particular, Scotland. the conservatives gaining seats in Hartlepool and Scotland would or would not indicate that the public are more interested in healthcare, education and jobs rather than the rhetoric of Scotland's First Minister and the price of a role of wallpaper. ;Default Inference (QA)
they have not been good comparisons in the past. now isn't the right time for us to make comparisons. ;Sunk Costs
football is up there with NHS, housing and schooling in levels of importance. it would be great if people were as engaged or more engaged about the NHS, housing and schooling as football because it clearly works. ;Verbal Classification
it would be unusual for the terms to be close. we don't know what the outcome is going to be in Hartlepool. ;Default Inference
governments holding their own seats has only happened twice. it is quite unusual for governments even to hold their own seats. ;Default Inference
it is not cutting through to Hugh Osmond. you can list these things but to some people that is not coming across. ;Default Inference
it's difficult to judge anyone at this time of going through the pandemic and coming out of it. we underestimate how difficult it has to be for any opposition leader to get themselves heard while we're going through the pandemic and coming out of it. you have to give Keir Starmer a couple of years. ;Best Explanation
it is only 17 months ago that the red wall seats revoted against Labour and turned to the Conservatives. Labour losing Hartlepool isn't really a shock to John Bercow.;Best Explanation
what is at stake is an argument about the behaviour of the Jersey authorities and, more particularly, the British government, in surreptitiously introducing new regulatory burdens and compliance requirements with minimal notice, of which the French fishermen couldn't have been aware. it isn't a question of people not filling in forms that they knew they had to complete. ;Cause To Effect
businesses are closing all over the place. the hospitality industry is literally on its knees. ;Cause To Effect
in a democracy every government needs a strong opposition. the UK government not having strong opposition is a disaster. ;Cause To Effect
strong opposition is good for democracy. the UK government not having strong opposition is a disaster. ;Cause To Effect
"Jersey is an area in which customarily French fishermen did fish. the French fishermen in Jersey are not people suddenly turning up saying ""Can we fish here?"". ";Popular Practice
people of reasonable sense and judgment can see through the situation in Jersey. the situation in Jersey doesn't wash. ;Popular Opinion
looking at it in human terms rather than government statistical terms, the hospitality sector has 3 million people working in it. the case is absolutely not academic for the 3 million people who work in hospitality.;Default Inference
there seems to be some disagreement about the precise details of the agreement between France and Jersey. disagreement about the agreement between France and Jersey needs to be worked through in the usual way. ;Popular Opinion
the reason to stick to the dates that we've talked about and why that doesn't conflict with the data not dates point, is that it takes five weeks to gather the correct data. you can make the most informed decision. ;Best Explanation
the French ships have moved away. it sounds like a sensible outcome has been achieved tonight. ;Popular Practice
there are a load of results going to be taking place over the next few days. it is far too early to say. ;Default Inference
